TIMESTAMP,SCREENNAME,klant_nr
26/11/2012,KBM KT001 Klantbeeld - Hoofdscherm,141
26/11/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,141
26/11/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,141
26/11/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,141
26/11/2012,KBM KT071 Betaaldiensten -Toegangscontract - Details,141
28/11/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,551
30/11/2012,KBM KT001 Klantbeeld - Hoofdscherm,137
30/11/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,137
30/11/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,115
30/11/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,137
30/11/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,42
30/11/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,137
30/11/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,137
30/11/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,137
30/11/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,137
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,518
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,791
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT009 Contracten Beperkt - Hoofdscherm,1092
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT052 Betaalrekeningen - Details,1092
03/12/2012,KBM KT009 Contracten Beperkt - Hoofdscherm,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT098 Pakketten - Details,1092
03/12/2012,KBM KT055 Effecten -  Depotoverzicht Uitgebreid,1092
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT153 Relatieprofiel - Selectie,1092
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT068 Betaaldiensten - Cards + Passen - Lijst,1092
03/12/2012,KBM KT082 Betaaldiensten - Passen - Details,1092
03/12/2012,KBM KT068 Betaaldiensten - Cards + Passen - Lijst,1092
03/12/2012,KBM KT071 Betaaldiensten -Toegangscontract - Details,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,518
03/12/2012,KBM KT068 Betaaldiensten - Cards + Passen - Lijst,518
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,474
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,473
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,473
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,474
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,474
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,474
03/12/2012,KBM KT152 Consolidatie - overzicht,474
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,474
03/12/2012,KBM KT204 Rekeningoverzicht - Kengetallen - Details,474
03/12/2012,KBM KT204 Rekeningoverzicht - Kengetallen - Details,474
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,474
03/12/2012,KBM KT053 Effectendepot - Details,474
03/12/2012,KBM KT055 Effecten -  Depotoverzicht Uitgebreid,474
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,474
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,474
03/12/2012,KBM KT002 Klantinformatie - Details,474
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,473
03/12/2012,KBM KT002 Klantinformatie - Details,473
03/12/2012,KBM KT152 Consolidatie - overzicht,473
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,474
03/12/2012,KBM KT009 Contracten Beperkt - Hoofdscherm,474
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,474
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,474
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,474
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,1092
03/12/2012,KBM KT010 Aanbevelingen - Details,1092
03/12/2012,KBM KT010 Aanbevelingen - Details,1092
03/12/2012,KBM KT012 Activitieten - Lijst,1092
03/12/2012,KBM KT012 Activitieten - Lijst,1092
03/12/2012,KBM KT007 Contacten - Lijst,1092
03/12/2012,KBM KT012 Activitieten - Lijst,1092
03/12/2012,KBM KT012 Activitieten - Lijst,1092
03/12/2012,KBM KT099 Bij- en Afschrijvingen,1092
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT152 Consolidatie - overzicht,1092
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,1092
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,1092
03/12/2012,KBM KT098 Pakketten - Details,1092
03/12/2012,KBM KT052 Betaalrekeningen - Details,1092
03/12/2012,KBM KT106 Klantgegevens Beleggen - Details,1092
03/12/2012,KBM KT009 Contracten Beperkt - Hoofdscherm,1092
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,1092
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,518
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,503
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,503
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,503
03/12/2012,KBM KT052 Betaalrekeningen - Details,503
03/12/2012,KBM KT151 Relatieoverzicht - Hoofdscherm,503
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,503
03/12/2012,KBM KT204 Rekeningoverzicht - Kengetallen - Details,503
03/12/2012,KBM KT009 Contracten Beperkt - Hoofdscherm,503
03/12/2012,KBM KT051 Contracten Uitgebreid - Hoofdscherm,503
03/12/2012,KBM KT052 Betaalrekeningen - Details,503
03/12/2012,KBM KT203 Rekeningoverzicht - Hoofdscherm,503
03/12/2012,KBM KT204 Rekeningoverzicht - Kengetallen - Details,503
03/12/2012,KBM KT009 Contracten Beperkt - Hoofdscherm,503
03/12/2012,KBM KT001 Klantbeeld - Hoofdscherm,503
03/12/2012,KBM KT007 Contacten - Lijst,503
